2012-05-07 22-01-04,210,高三生集体打吊瓶上自习续：被批补氨基酸太愚昧 - 吊瓶班
2012-05-08 12-32-54,246,K歌要命 南宁一名女生疑有线话筒漏电触电身亡 - KTV
2012-05-09 13-47-02,112,微软新版本火热出炉：Win8消费者预览版更新2 - Win8 RC
2012-05-12 20-02-08,474,“山寨王”联发科入场 千元智能机价格战将升级 - 联发科
2012-07-03 14-08-03,202,【新生儿感冒】新生儿感冒症状、怎样预防_新生儿感冒怎么办_亲子百科_太平洋亲子网
2012-07-03 13-57-55,112,【溶血性黄疸】新生儿溶血性黄疸_溶血性黄疸怎么治疗_亲子百科_太平洋亲子网
2012-07-04 13-50-57,90,三大件:屯条商痛哭流泪 内存直插谷底-
2012-07-06 23-20-38,222,疯！苹果视网膜Macbook Pro现货每台加5000元 - Retina Macbook Pro
2012-07-06 23-25-52,106,女孩欲跳楼寻死，只因男友送了个山寨iPhone - iPhone
2012-07-06 23-17-20,92,奇葩多：富家女为找刺激，扮成劫匪专抢iPhone - iPhone - IT之家
2012-08-07 13-30-50,110,深圳欧顿男科医院-欧式NT背神经微控术治疗早泄
2012-08-10 13-39-49,84,网购捧红网店模特 “淘女郎”月入过万 - 网购
