2012-06-10 08-59-07,626,克莱蒂化妆秀
2012-06-10 07-54-03,423,浮游生物
2012-07-03 19-42-52,115,【LOL战争之影出装】赫卡里姆出装S5天赋加点_人马符文_LOL太平洋
2012-07-03 19-49-17,77,LOL战争之影出装攻略 出装顺序全解析_LOL英雄联盟_巴士LOL
2012-07-03 20-06-15,53,【LOL战争之影出装】赫卡里姆出装S5天赋加点_人马符文_LOL太平洋
2012-07-03 20-12-54,39,【LOL战争之影出装】赫卡里姆出装S5天赋加点_人马符文_LOL太平洋
2012-07-03 19-45-49,38,【LOL战争之影出装】赫卡里姆出装S5天赋加点_人马符文_LOL太平洋
2012-07-08 07-57-08,202,战争之影赫卡里姆打野、出装、团战经验 - LOL攻略 - 英雄联盟攻略 - 多玩英雄联盟
2012-07-08 08-05-00,101,战争之影赫卡里姆打野、出装、团战经验 - LOL攻略 - 英雄联盟攻略 - 多玩英雄联盟
2012-07-08 08-42-57,83,战争之影赫卡里姆打野、出装、团战经验 - LOL攻略 - 英雄联盟攻略 - 多玩英雄联盟
2012-08-06 07-23-29,7883,和巧虎玩井字过三关
2012-08-09 06-28-01,1133,朵拉魔法森林冒险3
2012-08-09 05-45-25,368,巧虎小小宠物管理员
2012-08-09 06-22-00,342,朵拉爱钓鱼
2012-08-09 06-17-23,275,朵拉跳伞历险记
2012-08-09 05-59-23,217,巧虎喂小鸟
2012-08-11 19-03-07,131,窝窝提示
2012-08-12 06-45-57,375,我要糖糖糖！中文版
2012-08-12 05-56-05,170,BBQ鸡肉三明治
2012-08-12 06-10-47,167,经营银河超市
